STATION_NAME_RAW,STATION_NAME,NAME_CHANGED?,Complex ID,Latitude,Longitude,Neighborhood,PUMA,Borough
ASTORIA BLVD-NQW,"ASTORIA BLVD (N,Q,W)",NO,2,40.770258,-73.917843,Astoria & Long Island City ,4101,Queens
ASTORIA DITMARS-NQW,"ASTORIA-DITMARS BLVD (N,Q,W)",NAME_ONLY,1,40.775036,-73.912034,Astoria & Long Island City ,4101,Queens
ATL AV-BARCLAY-2345BDNQR,"ATLANTIC AV-BARCLAYS CTR (2,3,4,5,B,D,N,Q,R)",COMBINED,617,40.684359,-73.977666,Brooklyn Heights & Fort Greene ,4004,Brooklyn
ATL AV-BARCLAY-BDNQR2345,"ATLANTIC AV-BARCLAYS CTR (2,3,4,5,B,D,N,Q,R)",COMBINED,617,40.684359,-73.977666,Brooklyn Heights & Fort Greene ,4004,Brooklyn
ATLANTIC AV-L,ATLANTIC AV (L),NO,133,40.675345,-73.903097,Brownsville & Ocean Hill ,4007,Brooklyn
AVENUE H-BQ,"AVENUE H (B,Q)",NO,48,40.62927,-73.961639,Flatbush & Midwood ,4015,Brooklyn
AVENUE I-F,AVENUE I (F),NO,246,40.625322,-73.976127,"Borough Park, Kensington & Ocean Parkway ",4014,Brooklyn
AVENUE J-BQ,"AVENUE J (B,Q)",NO,49,40.625039,-73.960803,Flatbush & Midwood ,4015,Brooklyn
AVENUE M-BQ,"AVENUE M (B,Q)",NO,50,40.617618,-73.959399,Flatbush & Midwood ,4015,Brooklyn
AVENUE N-F,AVENUE N (F),NO,248,40.61514,-73.974197,"Borough Park, Kensington & Ocean Parkway ",4014,Brooklyn
AVENUE P-F,AVENUE P (F),NO,249,40.608944,-73.973022,"Borough Park, Kensington & Ocean Parkway ",4014,Brooklyn
AVENUE U-BQ,"AVENUE U (B,Q)",NO,52,40.5993,-73.955929,"Sheepshead Bay, Gerritsen Beach & Homecrest ",4016,Brooklyn
AVENUE U-F,AVENUE U (F),NO,251,40.596063,-73.973357,Brighton Beach & Coney Island ,4018,Brooklyn
AVENUE U-N,AVENUE U (N),NO,78,40.597473,-73.979137,Bensonhurst & Bath Beach ,4017,Brooklyn
AVENUE X-F,AVENUE X (F),NO,252,40.58962,-73.97425,Brighton Beach & Coney Island ,4018,Brooklyn
BAY 50 ST-D,BAY 50 ST (D),NO,70,40.588841,-73.983765,Brighton Beach & Coney Island ,4018,Brooklyn
BAY PKWY-D,BAY PKWY (D),NO,68,40.601875,-73.993728,Bensonhurst & Bath Beach ,4017,Brooklyn
BAY PKWY-F,BAY PKWY (F),NO,247,40.620769,-73.975264,"Borough Park, Kensington & Ocean Parkway ",4014,Brooklyn
BAY PKWY-N,BAY PKWY (N),NO,76,40.611815,-73.981848,Bensonhurst & Bath Beach ,4017,Brooklyn
BAY RIDGE AV-R,BAY RIDGE AV (R),NO,36,40.634967,-74.023377,Bay Ridge & Dyker Heights ,4013,Brooklyn
BAY RIDGE-95 ST-R,BAY RIDGE-95 ST (R),NO,39,40.616622,-74.030876,Bay Ridge & Dyker Heights ,4013,Brooklyn
BAYCHESTER AV-5,BAYCHESTER AV (5),NO,443,40.878663,-73.838591,"Co-op City, Pelham Bay & Schuylerville ",3703,Bronx
BEACH 105 ST-AS,"BEACH 105 ST (A,S)",NO,202,40.583209,-73.827559,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
BEACH 25 ST-A,BEACH 25 ST (A),NO,208,40.600066,-73.761353,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
BEACH 36 ST-A,BEACH 36 ST (A),NO,207,40.595398,-73.768175,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
BEACH 44 ST-A,BEACH 44 ST (A),NO,206,40.592943,-73.776013,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
BEACH 60 ST-A,BEACH 60 ST (A),NO,205,40.592374,-73.788522,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
BEACH 67 ST-A,BEACH 67 ST (A),NO,204,40.590927,-73.796924,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
BEACH 90 ST-AS,"BEACH 90 ST (A,S)",NO,200,40.588034,-73.813641,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
BEACH 98 ST-AS,"BEACH 98 ST (A,S)",NO,201,40.585307,-73.820558,"Far Rockaway, Breezy Point & Broad Channel ",4114,Queens
BEDFORD AV-L,BEDFORD AV (L),NO,120,40.717304,-73.956872,Greenpoint & Williamsburg ,4001,Brooklyn
BEDFORD PK BLVD-4,BEDFORD PARK BLVD-LEHMAN COLLEGE (4),NAME_ONLY,380,40.873412,-73.890064,"Riverdale, Fieldston & Kingsbridge ",3701,Bronx
BEDFORD PK BLVD-BD,"BEDFORD PARK BLVD (B,D)",NAME_ONLY,211,40.873244,-73.887138,"Bedford Park, Fordham North & Norwood ",3706,Bronx
BEDFORD-NOSTRAN-G,BEDFORD-NOSTRAND AVS (G),NAME_ONLY,289,40.689627,-73.953522,Bedford-Stuyvesant ,4003,Brooklyn
BERGEN ST-23,"BERGEN ST (2,3)",NO,339,40.680829,-73.975098,"Park Slope, Carroll Gardens & Red Hook ",4005,Brooklyn
